frame_idx,model_label,preprocess_ms,inference_ms,postprocess_ms,total_ms,detections,confidence_mean,gpu_mem_mb,cpu_percent
0,yolo26n,1.242,59.256,0.203,60.977,9,0.5857,0.0,26.0
1,yolo26n,2.607,49.926,0.215,53.251,9,0.5874,0.0,54.5
2,yolo26n,1.673,51.123,0.211,53.292,10,0.5435,0.0,55.8
3,yolo26n,1.35,49.98,0.202,51.764,9,0.5723,0.0,52.4
4,yolo26n,1.464,59.454,0.235,61.409,8,0.6131,0.0,53.1
5,yolo26n,1.363,48.516,0.201,50.295,8,0.6142,0.0,52.4
6,yolo26n,1.316,47.464,0.2,49.199,7,0.6605,0.0,51.3
7,yolo26n,1.308,48.948,0.211,50.678,7,0.6622,0.0,52.4
8,yolo26n,1.371,48.933,0.251,50.775,8,0.5972,0.0,51.2
9,yolo26n,1.795,59.61,0.217,61.946,9,0.5703,0.0,64.0
10,yolo26n,1.426,49.182,0.202,51.046,8,0.6222,0.0,53.7
11,yolo26n,1.394,47.761,0.2,49.588,8,0.621,0.0,51.2
12,yolo26n,1.336,47.658,0.203,49.417,8,0.6198,0.0,50.0
13,yolo26n,1.537,58.266,0.223,60.276,8,0.6252,0.0,55.1
14,yolo26n,1.547,61.716,0.207,63.738,8,0.6349,0.0,53.8
15,yolo26n,1.623,55.793,0.203,57.871,8,0.6323,0.0,53.3
16,yolo26n,1.396,50.372,0.204,52.213,8,0.6297,0.0,54.5
17,yolo26n,1.326,48.536,0.25,50.338,8,0.6419,0.0,53.7
18,yolo26n,1.551,48.149,0.205,50.134,9,0.6006,0.0,50.0
19,yolo26n,1.385,49.691,0.21,51.503,9,0.5916,0.0,53.5
20,yolo26n,1.297,50.946,0.206,52.687,9,0.5893,0.0,53.7
21,yolo26n,1.399,50.122,0.218,51.982,9,0.5985,0.0,55.8
22,yolo26n,1.384,57.189,0.218,59.055,9,0.6164,0.0,52.1
23,yolo26n,1.396,53.225,0.228,55.112,9,0.6267,0.0,50.0
24,yolo26n,1.424,48.606,0.2,50.479,9,0.6298,0.0,52.4
25,yolo26n,1.357,48.059,0.205,49.835,8,0.6705,0.0,52.5
26,yolo26n,1.427,50.303,0.207,52.157,8,0.6696,0.0,52.4
27,yolo26n,1.407,48.595,0.204,50.433,8,0.6729,0.0,50.0
28,yolo26n,1.357,48.195,0.202,49.96,8,0.664,0.0,51.2
29,yolo26n,1.361,49.249,0.232,51.048,8,0.6652,0.0,52.4
30,yolo26n,1.299,50.412,0.207,52.129,10,0.5832,0.0,53.7
31,yolo26n,1.425,49.311,0.203,51.149,10,0.5753,0.0,52.4
32,yolo26n,1.393,53.311,0.227,55.188,9,0.6174,0.0,51.1
33,yolo26n,1.807,52.92,0.234,55.26,8,0.6691,0.0,55.6
