frame_idx,model_label,preprocess_ms,inference_ms,postprocess_ms,total_ms,detections,confidence_mean,gpu_mem_mb,cpu_percent
0,yolo_fasternet,1.855,55.505,0.252,57.913,7,0.7829,0.0,47.1
1,yolo_fasternet,1.769,40.993,0.252,43.321,7,0.7709,0.0,53.8
2,yolo_fasternet,1.584,40.118,0.251,42.208,7,0.7612,0.0,52.9
3,yolo_fasternet,1.581,40.619,0.252,43.635,7,0.7645,0.0,50.0
4,yolo_fasternet,2.159,40.319,0.26,43.071,7,0.757,0.0,52.8
5,yolo_fasternet,1.572,40.248,0.252,42.325,7,0.7522,0.0,52.9
6,yolo_fasternet,1.545,39.816,0.258,41.895,7,0.7428,0.0,50.0
7,yolo_fasternet,1.558,40.408,0.268,42.486,8,0.6692,0.0,54.3
8,yolo_fasternet,1.595,41.134,0.25,43.243,7,0.717,0.0,54.3
9,yolo_fasternet,1.591,40.03,0.25,42.125,8,0.6578,0.0,50.0
10,yolo_fasternet,1.576,40.168,0.255,42.249,7,0.7243,0.0,51.4
11,yolo_fasternet,1.598,40.811,0.253,42.921,7,0.7274,0.0,54.3
12,yolo_fasternet,2.07,47.256,0.262,49.919,7,0.7266,0.0,62.5
13,yolo_fasternet,1.65,50.285,0.291,53.714,8,0.6861,0.0,63.6
14,yolo_fasternet,2.179,42.232,0.269,45.003,8,0.6971,0.0,52.8
15,yolo_fasternet,1.686,41.296,0.269,43.511,8,0.7166,0.0,51.4
16,yolo_fasternet,1.588,51.872,0.331,54.087,8,0.7466,0.0,65.1
17,yolo_fasternet,1.735,46.633,0.266,48.953,8,0.7123,0.0,57.5
18,yolo_fasternet,1.591,40.918,0.27,43.039,8,0.7253,0.0,51.4
19,yolo_fasternet,1.916,56.858,0.309,59.372,8,0.7156,0.0,53.2
20,yolo_fasternet,2.112,41.915,0.275,44.636,7,0.7952,0.0,54.1
21,yolo_fasternet,1.882,46.402,0.255,48.809,8,0.738,0.0,52.5
22,yolo_fasternet,1.557,39.305,0.258,41.377,7,0.8118,0.0,48.5
23,yolo_fasternet,1.538,40.243,0.255,42.284,7,0.806,0.0,54.3
24,yolo_fasternet,1.83,49.89,0.255,52.249,7,0.8043,0.0,50.0
25,yolo_fasternet,1.571,39.661,0.253,41.738,7,0.8093,0.0,51.4
26,yolo_fasternet,1.566,39.872,0.255,41.941,7,0.8067,0.0,51.5
27,yolo_fasternet,1.585,39.74,0.255,41.833,7,0.8121,0.0,52.8
28,yolo_fasternet,2.073,39.881,0.248,42.508,7,0.8131,0.0,51.4
29,yolo_fasternet,1.544,39.819,0.25,41.863,7,0.8252,0.0,51.5
30,yolo_fasternet,2.038,39.159,0.25,41.76,8,0.75,0.0,50.0
31,yolo_fasternet,1.585,40.018,0.248,42.091,7,0.8262,0.0,51.4
32,yolo_fasternet,1.565,40.052,0.254,42.122,8,0.7534,0.0,51.4
33,yolo_fasternet,1.566,41.959,0.262,44.022,8,0.7499,0.0,55.6
34,yolo_fasternet,1.55,46.568,0.273,48.641,7,0.8237,0.0,57.5
35,yolo_fasternet,1.587,41.289,0.257,43.381,8,0.7535,0.0,51.4
36,yolo_fasternet,2.109,40.887,0.274,43.598,8,0.7605,0.0,52.8
37,yolo_fasternet,1.756,41.461,0.265,43.78,8,0.7568,0.0,52.8
38,yolo_fasternet,2.112,41.038,0.265,43.734,8,0.7608,0.0,51.4
39,yolo_fasternet,1.597,43.378,0.258,45.508,9,0.7023,0.0,55.3
40,yolo_fasternet,1.658,40.413,0.259,42.584,8,0.7779,0.0,50.0
41,yolo_fasternet,1.593,39.955,0.251,42.06,8,0.7724,0.0,52.9
42,yolo_fasternet,1.553,40.765,0.251,42.819,8,0.7673,0.0,51.4
43,yolo_fasternet,1.578,40.227,0.256,42.302,8,0.7798,0.0,52.9
44,yolo_fasternet,2.065,41.951,0.252,44.584,8,0.7818,0.0,55.6
45,yolo_fasternet,1.576,40.816,0.251,42.882,8,0.7642,0.0,52.8
46,yolo_fasternet,1.834,50.628,0.255,53.0,8,0.7816,0.0,51.2
47,yolo_fasternet,1.573,41.834,0.253,43.899,8,0.7837,0.0,55.6
48,yolo_fasternet,1.573,39.818,0.274,41.91,8,0.7733,0.0,51.4
49,yolo_fasternet,2.033,40.312,0.267,42.917,8,0.7782,0.0,51.5
50,yolo_fasternet,2.045,40.278,0.25,42.89,7,0.8419,0.0,52.8
51,yolo_fasternet,2.178,41.297,0.258,44.088,8,0.7736,0.0,52.6
52,yolo_fasternet,1.857,46.067,0.254,48.449,8,0.7629,0.0,55.0
53,yolo_fasternet,1.904,40.677,0.251,43.092,8,0.7643,0.0,51.4
54,yolo_fasternet,1.573,40.091,0.26,42.17,8,0.76,0.0,51.4
55,yolo_fasternet,1.551,41.455,0.248,43.491,8,0.7695,0.0,54.3
56,yolo_fasternet,2.054,39.715,0.256,42.343,8,0.7716,0.0,50.0
57,yolo_fasternet,1.596,40.022,0.268,42.137,8,0.7758,0.0,52.9
58,yolo_fasternet,1.566,40.302,0.252,42.362,8,0.7734,0.0,51.4
59,yolo_fasternet,1.578,41.328,0.264,43.419,7,0.8477,0.0,52.8
60,yolo_fasternet,1.613,42.374,0.292,44.542,8,0.7709,0.0,51.4
61,yolo_fasternet,1.611,43.02,0.26,45.142,9,0.7295,0.0,55.3
62,yolo_fasternet,1.614,40.607,0.264,42.767,9,0.721,0.0,52.9
63,yolo_fasternet,1.593,41.418,0.266,43.523,9,0.7096,0.0,52.8
64,yolo_fasternet,2.108,41.358,0.272,44.062,7,0.8286,0.0,51.4
65,yolo_fasternet,1.594,42.064,0.27,44.176,7,0.8481,0.0,52.8
66,yolo_fasternet,1.625,41.603,0.265,43.747,8,0.7662,0.0,54.1
67,yolo_fasternet,1.613,43.084,0.263,45.218,9,0.7233,0.0,51.4
68,yolo_fasternet,1.579,41.65,0.271,43.77,8,0.748,0.0,53.8
69,yolo_fasternet,1.58,42.501,0.26,44.596,7,0.8231,0.0,52.8
70,yolo_fasternet,1.718,40.922,0.258,43.151,8,0.7699,0.0,51.4
71,yolo_fasternet,1.604,42.11,0.267,44.24,7,0.8213,0.0,52.8
72,yolo_fasternet,2.099,41.037,0.253,43.707,8,0.751,0.0,54.1
73,yolo_fasternet,1.581,39.923,0.255,41.997,8,0.761,0.0,51.5
74,yolo_fasternet,1.622,42.075,0.248,44.185,8,0.7661,0.0,55.6
75,yolo_fasternet,1.552,41.37,0.272,43.434,7,0.8126,0.0,52.8
76,yolo_fasternet,1.625,41.925,0.285,44.087,7,0.8126,0.0,52.8
77,yolo_fasternet,1.625,42.116,0.265,44.276,7,0.8164,0.0,54.1
78,yolo_fasternet,1.666,40.953,0.258,43.128,7,0.8193,0.0,51.4
79,yolo_fasternet,1.606,42.164,0.293,44.31,7,0.8203,0.0,52.8
80,yolo_fasternet,2.11,41.949,0.264,44.652,7,0.7834,0.0,51.4
81,yolo_fasternet,1.571,40.206,0.255,42.271,7,0.8101,0.0,54.3
82,yolo_fasternet,1.631,40.948,0.249,43.087,7,0.8053,0.0,52.9
83,yolo_fasternet,1.585,45.386,0.274,47.496,7,0.7931,0.0,56.4
84,yolo_fasternet,1.887,56.596,0.311,59.087,8,0.7884,0.0,54.2
85,yolo_fasternet,1.88,44.558,0.26,46.971,8,0.6858,0.0,50.0
